year,month,country,female,male,total
2015,Agosto,Montserrat/Territorio Británico de Ultramar,0,1,1
2015,Septiembre,Nicaragua,120,155,275
2015,Julio,Singapur,13,38,51
2015,Agosto,Islas Turcas y Caicos/Territorio Británico de Ultramar,0,1,1
2015,Agosto,Bélgica,275,471,746
2015,Agosto,Dinamarca,77,145,222
2015,Septiembre,Kazajistán,4,2,6
2015,Septiembre,Bosnia y Herzegovina,0,3,3
2015,Agosto,Kuwait,1,6,7
2015,Julio,República de Armenia,1,2,3
2015,Agosto,Zambia,0,1,1
2015,Septiembre,Pakistán,4,14,18
2015,Agosto,República CentroÁfricana,5,0,5
2015,Septiembre,Kiribati,0,5,5
2015,Agosto,Singapur,17,28,45
2015,Agosto,Ghana,2,14,16
2015,Julio,Kazajistán,12,2,14
2015,Julio,República Dominicana,494,809,1303
2015,Septiembre,Azerbaiyán,1,8,9
2015,Agosto,Guyana,12,17,29
2015,Septiembre,Sudán,0,4,4
2015,Septiembre,Uganda,2,8,10
2015,Agosto,Perú,5665,7176,12841
2015,Julio,Iraq,1,8,9
2015,Agosto,República Democrática del Congo,1,2,3
2015,Agosto,Eslovaquia,18,20,38
2015,Agosto,Luxemburgo,13,17,30
2015,Septiembre,El Salvador,814,1056,1870
2015,Julio,España,3518,7030,10548
2015,Julio,Islas Fiji,0,1,1
2015,Julio,Federación de Rusia,173,213,386
2015,Agosto,Antigua y Barbuda,1,10,11
2015,Septiembre,Hungría,27,56,83
2015,Julio,Jordania,3,2,5
2015,Julio,Rumania,65,86,151
2015,Julio,Lituania,24,18,42
2015,Julio,Madagascar,1,0,1
2015,Agosto,Letonia,11,10,21
2015,Agosto,Jamaica,28,43,71
2015,Septiembre,México,4627,8692,13319
2015,Septiembre,Argelia,2,9,11
2015,Septiembre,Santa Lucia,4,8,12
2015,Julio,Chile,4313,5159,9472
2015,Septiembre,Nepal,3,7,10
2015,Septiembre,Jamaica,22,63,85
2015,Septiembre,China,340,855,1195
2015,Julio,Croacia,7,52,59
2015,Agosto,Liechtenstein,0,3,3
2015,Septiembre,Níger,0,2,2
2015,Agosto,Lituania,21,24,45
2015,Septiembre,Georgia,2,10,12
2015,Julio,Sudán,2,10,12
2015,Septiembre,Bolivia,573,718,1291
2015,Agosto,Irán,4,20,24
2015,Julio,Arabia Saudita,2,18,20
2015,Agosto,República Dominicana,705,941,1646
2015,Julio,Azerbaiyán,2,6,8
2015,Julio,República de Irlanda,196,285,481
2015,Septiembre,Luxemburgo,9,8,17
2015,Septiembre,India,90,585,675
2015,Agosto,Ecuador,7444,9358,16802
2015,Agosto,Nigeria,13,13,26
2015,Septiembre,Mónaco,1,1,2
2015,Agosto,México,5265,9645,14910
2015,Septiembre,Zambia,6,8,14
2015,Agosto,Botsuana,1,1,2
2015,Agosto,Paraguay,275,234,509
2015,Septiembre,Myanmar,0,1,1
2015,Septiembre,Burundi,0,1,1
2015,Septiembre,Islas Caimán/Territorio Británico de Ultramar,0,3,3
2015,Agosto,Bulgaria,21,23,44
2015,Agosto,Zimbabue,0,6,6
2015,Julio,Comoras,0,1,1
2015,Julio,Rwanda,2,1,3
2015,Septiembre,Chile,4077,5182,9259
2015,Agosto,Francia,2166,3409,5575
2015,Julio,Mauricio,2,6,8
2015,Septiembre,Samoa Occidental,1,0,1
2015,Julio,Sudáfrica,78,121,199
2015,Agosto,República de Belarús,7,4,11
2015,Septiembre,Serbia,3,9,12
2015,Julio,San  Vicente y las Granadinas,4,2,6
2015,Septiembre,República de Moldavia,0,1,1
2015,Julio,República de Tayikistán,1,1,2
2015,Julio,República Checa,47,92,139
2015,Julio,Taiwán,78,84,162
2015,Agosto,Ucrania,22,39,61
2015,Septiembre,Andorra,2,10,12
2015,Agosto,Costa Rica,958,1436,2394
2015,Septiembre,Mozambique,3,8,11
2015,Agosto,Líbano,26,41,67
2015,Septiembre,Belice,5,15,20
2015,Septiembre,Polonia,133,228,361
2015,Julio,Albania,2,6,8
2015,Septiembre,Guinea,0,2,2
2015,Julio,Mónaco,0,1,1
2015,Septiembre,Eslovenia,24,23,47
2015,Agosto,Argentina,4203,5839,10042
2015,Julio,El Salvador,815,1026,1841
2015,Julio,Bélgica,497,683,1180
2015,Septiembre,Alemania,1614,2517,4131
2015,Julio,Suecia,244,359,603
2015,Julio,Papúa Nueva Guinea,0,1,1
2015,Agosto,República de Moldavia,4,1,5
2015,Julio,Camerún,2,3,5
2015,Agosto,Guinea,0,1,1
2015,Agosto,Madagascar,1,0,1
2015,Julio,Macedonia,4,5,9
2015,Septiembre,Barbados,3,12,15
2015,Septiembre,San  Vicente y las Granadinas,0,4,4
2015,Julio,Somalia,0,1,1
2015,Agosto,Benín,0,2,2
2015,Julio,Egipto,17,37,54
2015,Septiembre,Lituania,25,17,42
2015,Julio,Brasil,5189,6238,11427
2015,Agosto,Papúa Nueva Guinea,1,2,3
2015,Julio,Noruega,218,258,476
2015,Septiembre,Venezuela,12982,14115,27097
2015,Julio,Hungría,43,63,106
2015,Agosto,Uruguay,387,635,1022
2015,Agosto,Guinea Ecuatorial,0,1,1
2015,Agosto,Santa Sede/Ciudad del Vaticano,0,2,2
2015,Septiembre,Qatar,1,8,9
2015,Julio,Kiribati,0,1,1
2015,Agosto,India,90,584,674
2015,Agosto,Pakistán,7,24,31
2015,Julio,Surinam,21,26,47
2015,Agosto,Chipre,6,10,16
2015,Julio,Granada,2,6,8
2015,Julio,Kirguistán,2,0,2
2015,Julio,Bolivia,661,711,1372
2015,Septiembre,Santa Sede/Ciudad del Vaticano,0,1,1
2015,Agosto,Marruecos,4,13,17
2015,Septiembre,Marruecos,12,20,32
2015,Julio,Afganistán,0,1,1
2015,Agosto,Qatar,0,3,3
2015,Agosto,Aruba,2,0,2
2015,Septiembre,Bélgica,171,376,547
2015,Julio,Micronesia,0,1,1
2015,Septiembre,República de Corea,191,495,686
2015,Agosto,Panamá,2333,2974,5307
2015,Julio,Islas Caimán/Territorio Británico de Ultramar,9,9,18
2015,Septiembre,Nueva Zelanda,65,120,185
2015,Julio,Mozambique,0,2,2
2015,Julio,Islandia,6,6,12
2015,Septiembre,Túnez,7,11,18
2015,Agosto,Estados Unidos de América,15113,25198,40311
2015,Agosto,Vietnam,9,9,18
2015,Julio,Ucrania,41,57,98
2015,Julio,Camboya,1,0,1
2015,Julio,Jamaica,54,74,128
2015,Julio,Liechtenstein,6,1,7
2015,Septiembre,Perú,5043,6217,11260
2015,Julio,Reino Unido de Gran Bretaña e Irlanda del Norte,1619,2808,4427
2015,Septiembre,Estonia,7,7,14
2015,Julio,Libia,0,1,1
2015,Julio,Mongolia,0,1,1
2015,Agosto,Dominica,0,9,9
2015,Agosto,Belice,10,27,37
2015,Agosto,República Árabe Siria,1,2,3
2015,Agosto,Túnez,2,5,7
2015,Julio,Lesoto,1,2,3
2015,Septiembre,Paraguay,313,363,676
2015,Septiembre,Maldivas,0,3,3
2015,Agosto,Suiza,488,702,1190
2015,Julio,Sierra Leona,0,1,1
2015,Septiembre,Kenia,15,24,39
2015,Septiembre,Croacia,19,45,64
2015,Julio,Puerto Rico/Territorio de Estados Unidos,1,1,2
2015,Julio,Letonia,20,23,43
2015,Septiembre,Antigua y Barbuda,1,12,13
2015,Agosto,Afganistán,0,1,1
2015,Julio,San Cristóbal y Nevis,6,9,15
2015,Julio,Ecuador,5835,7671,13506
